Postal_Code,Building_Name,Location_Description
579767,Catholic High School,Level 3 General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
579767,Catholic High School,Level 2 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.)
579767,Catholic High School,Level 3 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
387380,James Cook University Singapore,Level 1 Blk D (Canteen)
555855,Rosyth School,Level 1 Beside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
555855,Rosyth School,Level 4 Between Multi-Purpose Hall & Tennis Court (Available During School Operating Hours. Approach Security Officer At Main Gate.)
555855,Rosyth School,Level 3 Beside Room #F3-03 (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569730,Townsville Primary School,Level 2 School Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569730,Townsville Primary School,Level 4 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569730,Townsville Primary School,Level 1 Near General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
569730,Townsville Primary School,"Level 1 Canteen, Facing Carpark (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
569730,Townsville Primary School,"Level 1 Canteen, Near Playground (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
579807,Guangyang Secondary School,Level 1 Near General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
579807,Guangyang Secondary School,Level 3 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
579807,Guangyang Secondary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.)
139648,Fairfield Methodist Primary School,"Level 4 Block E, Beside Room E405 (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
139648,Fairfield Methodist Primary School,Level 2 Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
139648,Fairfield Methodist Primary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.)
139648,Fairfield Methodist Primary School,Level 3 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
139648,Fairfield Methodist Primary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
139649,Fairfield Methodist Secondary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
119073,National University Hospital,"Level 1 Main Building, In Front Of Coffee Bean"
139649,Fairfield Methodist Secondary School,Level 1 Beside Foyer (Available During School Operating Hours. Approach Security Officer At Main Gate.)
139649,Fairfield Methodist Secondary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.)
148812,New Town Primary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate)
148812,New Town Primary School,Level 1 Between Canteen & Basketball Court (Available During School Operating Hours. Approach Security Officer At Main Gate)
148812,New Town Primary School,Level 2 Multipurpose Hall (Available During School Operating Hours. Approach Security Officer At Main Gate)
149303,Queenstown Primary School,Level 1 Near General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
149303,Queenstown Primary School,Level 1 Blk H Lift Lobby (Available During School Operating Hours. Approach Security Officer At Main Gate.)
149303,Queenstown Primary School,Level 4 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
159016,Alexandra Primary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
159016,Alexandra Primary School,Level 7 Lift Lobby (Available During School Operating Hours. Approach Security Officer At Main Gate.)
159016,Alexandra Primary School,Level 4 Outside Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
579700,BCA Braddell Campus,Level 1 Academic Tower Lift Lobby
579700,BCA Braddell Campus,Level 6 Academic Tower Lift Lobby
579700,BCA Braddell Campus,"Level 1 Workshop Block, Next To Fire Alarm Panel"
579700,BCA Braddell Campus,"Level 1 Block F, Cafeteria"
579700,BCA Braddell Campus,"Level 1 Block H, Outside Reception Office"
158901,Gan Eng Seng Primary School,Level 1 Canteen (Available During School Operating Hours. Approach Security Officer At Main Gate.)
158901,Gan Eng Seng Primary School,Level 1 Basketball Court (Available During School Operating Hours. Approach Security Officer At Main Gate.)
158901,Gan Eng Seng Primary School,Level 5 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
159561,Gan Eng Seng Secondary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
159561,Gan Eng Seng Secondary School,Level 3 Outside Room A3-01 (Available During School Operating Hours. Approach Security Officer At Main Gate.)
159561,Gan Eng Seng Secondary School,Level 1 Outside Room G01-01 (Available During School Operating Hours. Approach Security Officer At Main Gate.)
159561,Gan Eng Seng Secondary School,Level 1 Basketball Court (Available During School Operating Hours. Approach Security Officer At Main Gate.)
159561,Gan Eng Seng Secondary School,Level 2 Indoor Sports Hall (Available During Dual Use Scheme Operating Hours)
310195,,"Level 1 Adventist Home For the Elders, Outside Male Wing Entrance"
310480,HDB Hub,Level 1 Security Counter
310480,HDB Hub,Level 2 Pillar Near Seating Area
574623,Mount Alvernia Hospital,Level 5 Immanuel Dialysis Center (Mobile Unit)
637088,,"Level 1 Office, Near Reception Counter"
628505,JIC Jurong Inspection Centre,Level 1 Near Chief Inspector Office
638404,Raffles Marina,Level 1 Reception Counter
575718,VICOM Sin Ming Inspection Centre,Level 1 Inspection Lane
659545,VICOM Bukit Batok Inspection Centre,Level 1 Road Tax & Insurance Payment Counter
486047,ITE College East,"Level B1 Stadium, Outside Store"
486047,ITE College East,"Level 1 Swimming Pool, Outside Sports Management Centre"
486047,ITE College East,Level 3 Outside ISH
579783,Bishan Sports Hall,Level 1 Sports Hall
579784,Bishan Stadium,Level 1 Inside Stadium
499613,VICOM Changi Inspection Centre,Level 1 Inspection Area
415933,VICOM Kaki Bukit Inspection Centre,Level 1 Inspection Area
307683,Novena Square,Level 1 Outside The Body Shop
307683,Novena Square,Level 1 Information Counter
169629,"Four Points by Sheraton Singapore, Riverview",Level 1 Concierge
169664,Grand Copthorne Waterfront Hotel Singapore,Level 1 Fire Command Centre
169075,Holiday Inn Singapore Atrium,Level 1 Fire Command Centre
169075,Concorde Shopping Centre,Level 1 Security Counter
169075,Concorde Shopping Centre,Level 3 Lift Lobby
169854,College of Medicine Building,Level 2 Inside Office
58289,Parkroyal On Pickering,Level 4 Fire Lift Lobby
58289,Parkroyal On Pickering,Level 5 Swimming Pool Area
319387,SAFRA Clubhouse (Toa Payoh),Level 1 Security Helpdesk
319387,SAFRA Clubhouse (Toa Payoh),Level 1 Kids Amaze
319387,SAFRA Clubhouse (Toa Payoh),Level 1 Gym
319387,SAFRA Clubhouse (Toa Payoh),Level 1 Swimming Pool
319387,SAFRA Clubhouse (Toa Payoh),Level 2 Opposite Squash Court
319387,SAFRA Clubhouse (Toa Payoh),Level 2 Badminton Hall
319763,,Level 5 Coffee Cove 2
117440,Mapletree Business City,"Level 13 DSM Singapore, Pantry Area (Block 30)"
119958,Alexandra Point,Level 1 Security Office
119967,Alexandra Technopark A,Level 1 Fire Command Centre
119968,Alexandra Technopark B,Level 1 Fire Command Centre
150168,Connection One,"Level 1 Tower 1, Outside Fire Command Centre"
150167,Connection One,"Level 2 Tower 5, Security Counter"
307506,Square 2,Level 1 Information Counter
109433,Academy of Singapore Teachers,"Level 1 Blk M, Inside Sports Hall (Available During Operating Hours. Approach Security Officer At Main Gate.)"
187947,SMU Residences @ Prinsep,Level 1 Lounge
109433,Academy of Singapore Teachers,"Level 1 Blk A, Outside Library (Available During Operating Hours. Approach Security Officer At Main Gate.)"
109433,Academy of Singapore Teachers,"Level 1 Blk P, Inside Movement Studio (Available During Operating Hours. Approach Security Officer At Main Gate.)"
100061,Blangah Garden,"Level 1 Thomas Clinic & Surgery, Inside Treatment Room"
307591,United Square,Level B1 Information Counter
307591,United Square,Level 2 Reception Counter
307987,Revenue House,"Level 8 Auditor-General's Office, Beside Reception Counter"
308205,National Skin Centre,"Level 1 Opp Cafeteria, Outside Female Toilet"
308205,National Skin Centre,Level 5 Outside Female Toilet
308205,National Skin Centre,Level 4 Outside Female Toilet
308205,National Skin Centre,Level 3 Outside Clinic A & B
308205,National Skin Centre,Level 2 Outside Clinic F & G
308205,National Skin Centre,Level B1 Outside MMD
59573,Holiday Inn Express Singapore Clarke Quay,Roof Level (8) Gym/Fitness Center
139651,Singapore Polytechnic,"Level 1 Inside Guard House Gate 1, Along Dover Road"
139651,Singapore Polytechnic,"Level 4 Block T3A, Inside School Of Architecture & The Build Environment Office"
139651,Singapore Polytechnic,"Level 1 Block T1A, Outside Pace Academy Office Entrance"
139651,Singapore Polytechnic,Level 2 Outside Main Library Entrance
139651,Singapore Polytechnic,Level 1 Outside InnoVillage Office Entrance
139651,Singapore Polytechnic,"Level 3 Block T11A, School Of Chemical & Life Sciences Lift Lobby"
139651,Singapore Polytechnic,"Level 1 Block T11B, School Of Chemical & Life Sciences, Beside Fire Command Center"
139651,Singapore Polytechnic,"Level 1 Block W3, Outside Pharmaceutical Technology Centre (W315)"
139651,Singapore Polytechnic,"Level 1 Block W2, Between Workplace, Safety & Health Centre & Steam Simulation Centre"
139651,Singapore Polytechnic,Level 2 Outside Department Of Student Development Office
139651,Singapore Polytechnic,"Level 1 Block T12, School Of Electrical & Electronic Engineering Entrance, Near LT 12B"
139651,Singapore Polytechnic,"Level 1 Block T16, Outside One Stop Centre"
139651,Singapore Polytechnic,Level 1 SP Convention Centre Main Lobby
139651,Singapore Polytechnic,"Level 1 Block W12, Outside Engineering Workshop (W1218)"
139651,Singapore Polytechnic,"Level 4 Block T19, Outside Media, Arts & Design General Office (T1941)"
139651,Singapore Polytechnic,"Level 2 Block T19, Outside School Of Life Skills & Communication Office"
139651,Singapore Polytechnic,Level 1 Outside Gym@The Pool Entrance
139651,Singapore Polytechnic,"Level 1 Block W5A, Inside Operation Control Center Office (W5A15)"
139651,Singapore Polytechnic,"Level 1 Admin Building, Outside Department Of Communication Office"
139651,Singapore Polytechnic,"Level 1 Block T11A, School Of Chemical & Life Sciences, Outside Food Lab"
139651,Singapore Polytechnic,"Level 1 Block T11, Moberly Entrance"
139651,Singapore Polytechnic,"Level 2 Polycentre, Inside Badminton Hall"
139651,Singapore Polytechnic,"Level 5 School Of Business, Opposite Media Classroom (T18B523)"
117438,Mapletree Business City,"Level 2 Block 20 West, Main Lobby"
117438,Mapletree Business City,"Level 1 Block 20, Inside Fire Command Centre"
117438,Mapletree Business City,"Level 2 Block 20 East, Main Lobby"
117438,Mapletree Business City,"Level 2 Block 10, Main Lobby"
117438,Mapletree Business City,"Level 1 Town Hall, Multi-Purpose Hall"
117438,Mapletree Business City,"Level 2 Block 30, Main Lobby"
127368,Kent Ridge Secondary School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
127368,Kent Ridge Secondary School,Level 3 Outside Multipurpose Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
127368,Kent Ridge Secondary School,Level 1 School Field Toilet (Available During School Operating Hours. Approach Security Officer At Main Gate.)
127368,Kent Ridge Secondary School,Level 1 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
127368,Kent Ridge Secondary School,Level 2 Indoor Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
118505,MOE Labrador Adventure Learning Centre,Level 1 Beside Outdoor Education Centre (Near Staircase Corridor)
118505,MOE Labrador Adventure Learning Centre,Level 1 Inside Operations Room
599493,Singapore Institute of Technology@NP,"Level 2 Opposite Student Lounge, Near Lift Lobby"
139660,Singapore Institute of Technology@SP,Level 1 Lift Lobby
138683,,Level 1 University Tower Lobby
138683,,Level 5 University Tower Lobby
138633,Symbiosis,"Level 10 Autodesk Asia, Beside Office Entrance"
138633,Symbiosis,"Level 8 Autodesk Asia, Beside Office Entrance"
138633,Symbiosis,"Level 7 Autodesk Asia, Beside Office Entrance"
318990,Beatty Secondary School,"Level 1 Blk A, Beside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
318990,Beatty Secondary School,"Level 1 Blk I, Near Staircase (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
318990,Beatty Secondary School,Level 1 School Field Toilet (Available During School Operating Hours. Approach Security Officer At Main Gate.)
318990,Beatty Secondary School,"Level 2 Blk J, Sports Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
138617,The Star Vista,Level 1 Customer Service Counter
138617,The Star Vista,Level 1 Fire Command Centre
119228,National University Hospital (National University Health System Building),"Level 1 Tower Block, Lift Lobby"
68807,SGX Centre 2,"Level 1 Aviva Ltd, Customer Service Counter"
119082,NUH Medical Centre,"Level 1 NUH Medical Centre, In Front Of Escalator"
319194,Toa Payoh Central Community Building,"Level 1 Toa Payoh Central CC, Inside Constituency Office"
319194,Toa Payoh Central Community Building,"Level 2 Toa Payoh Central CC, Lift Lobby"
556083,Nex,"Level 1 Near Staircase 4, Beside #01-48"
556083,Nex,"Level 4 Near Staircase 1, Opposite Shaw House Theatre"
567720,ITE College Central,"Level 1 Block A, Outside IBMS Room"
567720,ITE College Central,"Level 1 Block A, Outside Fire Command Center"
567720,ITE College Central,"Level 1 Block A, Outside FOODGLE Food Court"
567720,ITE College Central,"Level 2 Block A, FOYER@illuminITE, Foyer Main Entrance"
567720,ITE College Central,"Level 2 Block A, Career Service Centre, Next To Reception Counter"
567720,ITE College Central,"Level 6 Block A, Near College Administration Office"
567720,ITE College Central,"Level 3 Block A, Outside Staff Academy Office"
567720,ITE College Central,"Level 4 Block A, Outside Library"
567720,ITE College Central,"Level 4 Block A, Outside Auditorium"
567720,ITE College Central,"Level 7 Block A, Opposite Executive Salon Meeting Room 5"
567720,ITE College Central,"Level 6 Block A, Inside Campus Development & Estate Division Office"
567720,ITE College Central,"Level 8 Block A, CEO Office, Inside Printing Room"
567720,ITE College Central,"Level 3 Block A, Inside Student Service Centre Office"
567720,ITE College Central,"Level 4 Block C, Central Delight Cafeteria, Pillar Near Drink Stall"
567720,ITE College Central,"Level 1 Block D, Washing Point, Near Stadium"
567720,ITE College Central,"Level 4 Block F, Sports Hall Main Entrance"
567720,ITE College Central,"Level 2 Block F, Aquatic Centre, Underneath Grandstand (Near Lifeguard Post)"
567720,ITE College Central,"Level 2 Block F, Inside Club ITE, Lobby Area"
567720,ITE College Central,"Level 2 Block F, Corridor Along Food Terrace"
567720,ITE College Central,"Level 1 Block A, Information Counter"
567720,ITE College Central,"Level 4 Block D, Student Activities Centre Office, Next To Reception Counter"
556111,Nanyang Junior College,Level 2 Lift Lobby (Available During School Operating Hours. Approach Security Officer At Main Gate.)
556111,Nanyang Junior College,"Level 1 Grandstand Area, Near AEP Room (Available During School Operating Hours. Approach Security Officer At Main Gate.)"
556111,Nanyang Junior College,Level 1 Outside PE Games Room (Available During School Operating Hours. Approach Security Officer At Main Gate.)
556111,Nanyang Junior College,Level 3 Outside Gym (Available During School Operating Hours. Approach Security Officer At Main Gate.)
556111,Nanyang Junior College,Level 3 Outside Science Lab (Available During School Operating Hours. Approach Security Officer At Main Gate.)
578774,Singapore Island Country Club (Island Location),"Level 2 Clubhouse Lobby, Near Bistro Restaurant"
578774,Singapore Island Country Club (Island Location),Level 1 Golf Course Maintenance Warehouse
578774,Singapore Island Country Club (Island Location),"Level 1 Rotunda, Island Halfway House"
578774,Singapore Island Country Club (Island Location),"Level 2 ISP Building, Outside Lifestyle Centre"
578774,Singapore Island Country Club (Island Location),"Level 3 Main Building, On Pillar Near Lift Lobby"
578774,Singapore Island Country Club (Island Location),"Level 3 ISP Building, Beside Swimming Pool Reception Counter"
578774,Singapore Island Country Club (Island Location),"Level 1 Old Course, Halfway House"
578774,Singapore Island Country Club (Island Location),Level 2 A-Frame (Next to Lift)
578774,Singapore Island Country Club (Island Location),Level 1 Outside Golf Office
900130,,"Level 1 Stadium, Outside First Aid Room"
158790,Delta Sports Hall,"Level 1 Walkway, Near Futsal Court 3 (Approach Receptionist For Assistance)"
158790,Delta Sports Hall,"Level 1 Indoor Hall, Tenant Unit (Approach Receptionist For Assistance)"
178901,Li Ka Shing Library,"Level B1 SMU Concourse, Outside Office Of Student Life"
178901,Li Ka Shing Library,"Level B1 SMU Concourse, Opposite Bras Basah MRT Exit C"
178903,School of Economics and Computing & Information Systems 2,"Level B1 SMU Concourse, Outside Drama & Music Lab"
188065,SMU Administration Building,Level 1 Lift Lobby
188065,SMU Administration Building,Level 3 Beside Sports Hall
188065,SMU Administration Building,Level 5 Outside Toilet For Disabled
188065,SMU Administration Building,Level 7 Outside Toilet For Disabled
188065,SMU Administration Building,Level 9 Outside Toilet For Disabled
188065,SMU Administration Building,Level 11 Outside Toilet For Disabled
188065,SMU Administration Building,Level 13 Outside Toilet For Disabled
178900,School of Accountancy,Level 1 Lift Lobby
178900,School of Accountancy,Level 3 Lift Lobby
178900,School of Accountancy,Level 5 Lift Lobby
178902,School of Computing & Information Systems 1,Level 1 Lift Lobby
178902,School of Computing & Information Systems 1,Level 3 Lift Lobby
178902,School of Computing & Information Systems 1,Level 5 Outside General Office
178901,Li Ka Shing Library,Level 2 Opp Information Counter
178901,Li Ka Shing Library,Level 4
178899,Lee Kong Chian School of Business,Level 1 Lift Lobby
178899,Lee Kong Chian School of Business,Level 3 Lift Lobby
178899,Lee Kong Chian School of Business,Level 5 Outside General Office
178903,School of Economics and Computing & Information Systems 2,Level 1 Lift Lobby
178903,School of Economics and Computing & Information Systems 2,Level 3 Lift Lobby
178903,School of Economics and Computing & Information Systems 2,Level 5 Outside General Office
670229,,Level 1 Lift Lobby A
179024,Clarke Quay,"Level 1 Fire Command Centre, AED Set 1"
179024,Clarke Quay,"Level 1 Fire Command Centre, AED Set 2"
329133,Aloft Singapore Novena,"Level 1 East Wing Hotel, Fireman Lift Lobby"
329983,Aloft Singapore Novena,"Level 1 West Wing Hotel, Fireman Lift Lobby"
288303,Singapore Island Country Club (Bukit Location),Level 1 Bukit Clubhouse (Near Lifestyle Area)
288303,Singapore Island Country Club (Bukit Location),Level 1 Tennis Court 5
288303,Singapore Island Country Club (Bukit Location),Level 2 Bukit Clubhouse (Outside Sports Male Changing Room)
288303,Singapore Island Country Club (Bukit Location),Level 2 Inside Security Office
288303,Singapore Island Country Club (Bukit Location),Level 1 Golf Course Maintenance Warehouse
288303,Singapore Island Country Club (Bukit Location),Level 3 Bukit Clubhouse (Inside The Social Entrance)
288303,Singapore Island Country Club (Bukit Location),Level 1 Tennis Court 6
238891,The Atrium @ Orchard,Level 1 Fire Command Centre
238891,The Atrium @ Orchard,Level 1 Security Counter
238839,Plaza Singapura,Level 1 Fire Command Centre
238891,The Atrium @ Orchard,Level 4 Customer Service Counter
238843,The Centrepoint,Level 1 Fire Command Centre
238843,The Centrepoint,Level 3 Beside Customer Service Counter
238858,Hotel Jen Orchardgateway Singapore,Level 19 Swimming Pool
238858,Hotel Jen Orchardgateway Singapore,Level 9 Fire Command Centre
189657,Ibis Singapore on Bencoolen,Level 1 Fire Command Centre
188994,Singapore Pools Building,Level 1 Main Lobby
329563,Mount Elizabeth Novena Hospital,Level 1 Carpark Lift Lobby
247905,Orchard Rendezvous Hotel,Level 1 Inside Front Desk Office
559020,Burghley Squash & Tennis Centre,Level 1 Main Office
228518,Vibe Hotel Singapore Orchard,Level 1 Reception Counter
529510,Tampines Mall,Level 2 Information Counter
529510,Tampines Mall,Level 1 Fire Command Centre
228221,Goodwood Park Hotel,Level 1 Fire Command Centre
228221,Goodwood Park Hotel,Level 1 Parklane Suite Lift Lobby
319580,Kheng Cheng School,Level 1 Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
319580,Kheng Cheng School,Level 2 Outside Multipurpose Hall (Available During School Operating Hours. Approach Security Officer At Main Gate.)
319580,Kheng Cheng School,Level 1 Amphitheatre (Available During School Operating Hours. Approach Security Officer At Main Gate.)
469719,Red Swastika School,Level 1 Near General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.)
